Characteristic,SURE_PD2_noncarrier,SURE_PD2_MC1R,SURE_PD3_noncarrier,SURE_PD3_MC1R,STEADY_PD3_noncarrier,STEADY_PD3_MC1R
Participants,40,34,59,167,78,209
"Age at PD onset, mean (SD)",58.6 (10.4),63.2 (10.1),64.3 (7.1),61.2 (10.3),60.7 (9.4),61.7 (9.0)
Male (%),25 (62.5),15 (44.1),32 (54.2),85 (50.9),57 (73.1),143 (68.4)
Asian (%),0,0,1 (1.7),0,2 (2.6),2 (1.0)
Black (%),0,0,1 (1.7),1 (0.6),4 (5.1),3 (1.4)
White (%),37 (92.5),32 (94.1),56 (94.9),163 (97.6),70 (89.7),199 (95.2)
Unknown race (%),3 (7.5),2 (5.9),1 (1.7),3 (1.8),2 (2.6),5 (2.4)
"Average follow-up, mean (SD)",1.2 (0.6),1.3 (0.7),1.2 (0.9),1.3 (0.9),1.4 (1.0),1.4 (1.0)
"MDS-UPDRS III OFF at baseline, mean (SD)",21.1 (8.9),22.9 (8.8),20.9 (9.1),21.9 (8.8),21.9 (8.3),23.2 (8.2)
MAO-B inhibitor use (%),0,0,33 (55.9),94 (56.3),14 (17.9),37 (17.7)
Active treatment arm (%),23 (57.5),26 (76.5),35 (59.3),84 (50.3),39 (50.0),107 (51.2)
MC1R LoF homozygotes (%),--,0,--,9 (5.4),--,11 (5.3)
LRRK2 carriers (%),0,0,8 (13.6),18 (10.8),5 (6.4),23 (11.0)
GBA carriers (%),1 (2.5),0,2 (3.4),8 (4.8),8 (10.3),15 (7.2)
