Characteristic,Prodromal_noncarrier,Prodromal_MC1R
Participants,19,34
Enrolled for RBD (%),13 (68.4),21 (61.8)
Enrolled for hyposmia (%),6 (31.6),13 (38.2)
MC1R LoF homozygotes (%),--,3 (8.8)
"Age at baseline, mean (SD)",69.0 (5.8),69.4 (6.0)
"Average follow-up, mean (SD)",6.6 (3.0),7.5 (3.3)
Male (%),19 (100),25 (73.5)
Black (%),1 (5.3),1 (2.9)
White (%),17 (89.5),32 (94.1)
Unknown race (%),1 (5.3),1 (2.9)
History of melanoma,0,0
Phenoconverted to PD (%),3 (15.8),20 (58.8)
Phenoconverted to DLB (%),2 (10.5),1 (2.9)
Phenoconverted to MSA (%),1 (5.3),0
