Comparison,Subscore,Reference_slope_95CI,Cocarrier_slope_95CI,Beta_diff_95CI,Pct_diff,P_value
LRRK2 vs LRRK2+MC1R,MDS-UPDRS III OFF,"1.64 (1.06, 2.22)","2.13 (1.65, 2.61)","0.49 (-0.25, 1.22)",29.6,0.20
LRRK2 vs LRRK2+MC1R,Tremor,"0.19 (-0.01, 0.38)","0.26 (0.10, 0.42)","0.08 (-0.17, 0.33)",42.1,0.54
LRRK2 vs LRRK2+MC1R,Rigidity,"0.31 (0.19, 0.43)","0.38 (0.28, 0.49)","0.07 (-0.08, 0.23)",23.7,0.36
LRRK2 vs LRRK2+MC1R,Bradykinesia,"0.74 (0.43, 1.05)","0.98 (0.73, 1.24)","0.25 (-0.15, 0.64)",33.5,0.22
LRRK2 vs LRRK2+MC1R,Axial,"0.29 (0.17, 0.41)","0.33 (0.23, 0.43)","0.04 (-0.11, 0.19)",14.2,0.60
LRRK2 vs LRRK2+MC1R,Orofacial,"0.08 (0.04, 0.13)","0.14 (0.10, 0.18)","0.06 (0.00, 0.12)",70.9,0.05
GBA vs GBA+MC1R,MDS-UPDRS III OFF,"2.56 (1.61, 3.50)","2.46 (1.70, 3.23)","-0.09 (-1.29, 1.10)",-3.7,0.88
GBA vs GBA+MC1R,Tremor,"0.36 (0.03, 0.70)","0.24 (-0.04, 0.51)","-0.13 (-0.56, 0.31)",-33.9,0.57
GBA vs GBA+MC1R,Rigidity,"0.30 (0.07, 0.52)","0.34 (0.16, 0.52)","0.04 (-0.24, 0.33)",14.8,0.76
GBA vs GBA+MC1R,Bradykinesia,"1.34 (0.89, 1.79)","1.18 (0.81, 1.55)","-0.17 (-0.73, 0.39)",-12.6,0.58
GBA vs GBA+MC1R,Axial,"0.35 (0.16, 0.54)","0.53 (0.38, 0.69)","0.19 (-0.06, 0.43)",53.5,0.13
GBA vs GBA+MC1R,Orofacial,"0.11 (0.02, 0.20)","0.20 (0.13, 0.27)","0.09 (-0.02, 0.20)",85.5,0.10
