Analyte,N_noncarrier,N_MC1R,Noncarrier_mean_SD,MC1R_mean_SD,Pct_diff,P_value
Alpha synuclein (pg/ml),278,518,106.5 (54.9),107.9 (49.8),1.4,0.21
Tau (pg/ml),97,207,169.5 (60.6),171.2 (56.2),1.0,0.55
p-Tau (pg/ml),90,194,15.0 (5.4),15.1 (5.3),0.5,0.82
Amyloid beta (pg/ml),96,215,971.1 (434.2),893.8 (384.7),-8.0,0.21
NfL (pg/ml),394,692,23.6 (40.4),23.0 (40.8),-2.2,0.98
GFAP (pg/ml),277,494,39.9 (50.7),42.5 (54.7),6.4,0.39
Time to threshold (hours),104,189,66.7 (15.2),66.2 (12.0),-0.8,0.59
Time to 50% threshold (hours),104,189,72.0 (13.6),71.4 (11.4),-0.8,0.78
Fluorescence maximum (RFU),104,189,74179 (34271),78219 (29631),5.4,0.68
AUC (RFU x hours),104,189,2.6e7 (4.8e6),2.6e7 (4.1e6),0.3,0.52
